City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
82,Pangkalanbuun,ID,-2.6833,111.6167,87.08,62,69,1.19,broken clouds
83,Oyama,JP,36.3,139.8,73.58,32,81,4.92,broken clouds
84,East London,ZA,-33.0153,27.9116,64.11,80,17,4.03,few clouds
85,Barra,BR,-11.0894,-43.1417,79.66,62,78,10.02,broken clouds
86,Barrow,US,71.2906,-156.7887,17.85,88,51,12.37,broken clouds
87,Hamilton,US,39.1834,-84.5333,57.72,83,100,8.05,overcast clouds
88,Ilulissat,GL,69.2167,-51.1,15.82,62,75,0.0,broken clouds
89,Jamestown,US,42.097,-79.2353,52.02,93,98,1.99,overcast clouds
90,Ribeira Grande,PT,38.5167,-28.7,62.55,86,100,18.79,overcast clouds
91,Craig,US,40.5153,-107.5464,46.35,66,100,5.75,overcast clouds
92,Marystown,CA,47.1666,-55.1483,40.86,100,100,3.0,overcast clouds
93,Lebu,CL,-37.6167,-73.65,53.87,96,50,9.93,scattered clouds
94,Banda Aceh,ID,5.5577,95.3222,82.85,75,100,10.31,overcast clouds
95,Inuvik,CA,68.3499,-133.7218,29.16,80,100,10.36,overcast clouds
96,Axim,GH,4.8699,-2.2405,79.84,86,100,5.35,light rain
97,Gazimurskiy Zavod,RU,51.5461,118.3266,45.77,25,100,13.56,overcast clouds
98,Cidreira,BR,-30.1811,-50.2056,65.97,77,100,12.53,overcast clouds
99,Fairbanks,US,64.8378,-147.7164,55.98,36,75,10.36,broken clouds
100,Atuona,PF,-9.8,-139.0333,79.18,74,10,15.59,clear sky
101,Turki,RU,51.987,43.2731,37.78,79,24,13.35,few clouds
102,Rurrenabaque,BO,-14.4413,-67.5278,61.93,81,6,1.16,clear sky
103,Kodiak,US,57.79,-152.4072,44.11,81,100,3.44,overcast clouds
104,Laem Sing,TH,12.4816,102.0738,84.42,93,91,4.27,overcast clouds
105,Stanisic,RS,45.94,19.1653,57.15,66,73,3.29,broken clouds
106,Dikson,RU,73.5069,80.5464,28.4,91,100,19.3,light snow
107,Vardo,NO,70.3705,31.1107,27.7,65,88,9.08,overcast clouds
108,Denpasar,ID,-8.65,115.2167,85.71,79,20,6.91,few clouds
109,Grand Gaube,MU,-20.0064,57.6608,77.4,78,29,7.0,scattered clouds
110,Preobrazheniye,RU,42.9019,133.9064,52.97,70,69,12.75,broken clouds
111,Ust-Maya,RU,60.4167,134.5333,38.17,96,100,7.29,light rain
112,Palmas Bellas,PA,9.2319,-80.0867,84.02,88,100,3.65,overcast clouds
113,Mataura,NZ,-46.1927,168.8643,63.48,53,53,2.86,broken clouds
114,New Norfolk,AU,-42.7826,147.0587,56.91,80,66,3.56,broken clouds
